,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
348,348,Zakir Nagar S.O,110025,DELHI,South Delhi,New Delhi,28.5662312,77.2836786
349,349,505 A B Workshop S.O,110010,DELHI,South West Delhi,,28.5760255,77.3033019
350,350,A F Palam S.O,110010,DELHI,South West Delhi,,28.668544,77.2521673
351,351,A F Rajokari S.O,110038,DELHI,South West Delhi,,28.668544,77.2521673
352,352,Anand Niketan S.O,110021,DELHI,South West Delhi,,28.6525373,77.3124158
353,353,Ansari Nagar S.O,110029,DELHI,South West Delhi,,28.644324,77.2442119
354,354,Aps Colony B.O,110010,DELHI,South West Delhi,,0,0
355,355,Arjungarh S.O,110047,DELHI,South West Delhi,,28.475239,77.1175451
356,356,Aya Nagar B.O,110047,DELHI,South West Delhi,,28.4775509,77.1295647
357,357,Bazar Road S.O,110010,DELHI,South West Delhi,,28.6639724,77.2233172
358,358,Bijwasan S.O,110061,DELHI,South West Delhi,,28.5349468,77.0557525
359,359,C.S.K.M. School B.O,110074,DELHI,South West Delhi,,0,0
360,360,C.V.D. S.O,110010,DELHI,South West Delhi,,0,0
361,361,Chanakya Puri S.O,110021,DELHI,South West Delhi,,28.6882315,77.283257
362,362,Chandanhoola B.O,110074,DELHI,South West Delhi,,0,0
363,363,Chattarpur S.O,110074,DELHI,South West Delhi,,28.4958562,77.1848254
364,364,COD S.O (South West Delhi),110010,DELHI,South West Delhi,,0,0
365,365,Delhi Cantt S.O,110010,DELHI,South West Delhi,,28.6139391,77.2090212
366,366,Dera B.O,110074,DELHI,South West Delhi,,28.433333,77.183333
367,367,Dhaula Kuan S.O,110010,DELHI,South West Delhi,,0,0
368,368,Fatehpur Beri B.O,110074,DELHI,South West Delhi,,28.4222469,77.0492504
369,369,Gadaipur B.O,110030,DELHI,South West Delhi,,28.4892931,77.1499544
370,370,Ghitorni B.O,110030,DELHI,South West Delhi,,28.4964413,77.1393872
371,371,Green Park Market S.O,110016,DELHI,South West Delhi,,28.5597033,77.203868
372,372,Gurgaon Road S.O,110037,DELHI,South West Delhi,,28.4594965,77.0266383
373,373,Hauz Khas Market S.O,110016,DELHI,South West Delhi,,0,0
374,374,Hauz Khas S.O,110016,DELHI,South West Delhi,,0,0
375,375,IGI Airport S.O,110037,DELHI,South West Delhi,,28.5468804,77.1242742
376,376,Ignou S.O,110068,DELHI,South West Delhi,,28.502608,77.198298
377,377,IT Hauz Khas S.O,110016,DELHI,South West Delhi,,28.544788,77.1898705
378,378,J.N.U. S.O,110067,DELHI,South West Delhi,,28.5479688,77.1672301
379,379,Jaunapur B.O,110047,DELHI,South West Delhi,,28.4670968,77.1525034
380,380,JNU New Campus S.O,110067,DELHI,South West Delhi,,28.5479688,77.1672301
381,381,Kapashera S.O.,110097,DELHI,South West Delhi,,28.5255897,77.0796189
382,382,Kidwai Nagar East S.O,110023,DELHI,South West Delhi,,28.6886607,77.2830372
383,383,Kidwai Nagar West S.O,110023,DELHI,South West Delhi,,28.6886607,77.2830372
